word,frequency
br,9111
like,8841
good,6947
coffee,6636
taste,5838
one,5804
great,5743
product,4980
flavor,4894
would,4477
love,4254
tea,3855
really,3533
get,3488
food,3458
dont,3301
much,3223
also,2925
use,2910
little,2871
